Country,Code,Continent region,Year,Environmental factor,Death rate
Mauritius,MUS,Africa,2019,Secondhand smoke,31.04302184
Mauritius,MUS,Africa,2019,Air pollution from solid fuels,1.105858284
Mexico,MEX,North America,2019,Outdoor air pollution,31.06200056
Mexico,MEX,North America,2019,Unsafe water source,1.91389379
Mexico,MEX,North America,2019,Secondhand smoke,8.360693927
Mexico,MEX,North America,2019,Air pollution from solid fuels,7.87782348
Moldova,MDA,Europe,2019,Outdoor air pollution,80.36111078
Moldova,MDA,Europe,2019,Unsafe water source,0.187671907
Moldova,MDA,Europe,2019,Secondhand smoke,27.43763287
Moldova,MDA,Europe,2019,Air pollution from solid fuels,10.58469558
Monaco,MCO,Europe,2019,Outdoor air pollution,45.90376411
Monaco,MCO,Europe,2019,Unsafe water source,0
Monaco,MCO,Europe,2019,Secondhand smoke,18.90154993
Monaco,MCO,Europe,2019,Air pollution from solid fuels,0
Mongolia,MNG,Asia,2019,Outdoor air pollution,70.10205944
Mongolia,MNG,Asia,2019,Unsafe water source,1.113713213
Mongolia,MNG,Asia,2019,Secondhand smoke,16.45820636
Mongolia,MNG,Asia,2019,Air pollution from solid fuels,31.21490643
Montenegro,MNE,Europe,2019,Outdoor air pollution,91.79651077
Montenegro,MNE,Europe,2019,Unsafe water source,0
Montenegro,MNE,Europe,2019,Secondhand smoke,39.22653
Montenegro,MNE,Europe,2019,Air pollution from solid fuels,27.00843049
Morocco,MAR,Africa,2019,Outdoor air pollution,76.37640035
Morocco,MAR,Africa,2019,Unsafe water source,2.641552508
Morocco,MAR,Africa,2019,Secondhand smoke,18.22368237
Morocco,MAR,Africa,2019,Air pollution from solid fuels,4.624782754
Mozambique,MOZ,Africa,2019,Outdoor air pollution,6.458516004
